id,text,created_at,like_count,retweet_count,reply_count,quote_count
1817518472215064630,It was an honor and a pleasure to receive a congratulatory call from my brother and friend President HH Sheikh @MohamedBinZayed and I thanked him for his very good wishes. Rwanda remains committed to continue deepening the productive bilateral cooperation with the UAE and I look,2024-07-28 11:12:26+00:00,2614,552,215,9
1816610713323843836,"My sincere gratitude for the messages of congratulations from leaders of India, Hungary, Mauritania, Nicaragua, Russia, Singapore and the President of FIFA. We look forward to strengthening our collaboration towards our shared goals.",2024-07-25 23:05:19+00:00,2697,474,130,7
1816075391963926701,My deepest sympathies to Prime Minister @AbiyAhmedAli and the victims of the devastating landslides that have claimed hundreds of lives in southern Ethiopia. Rwanda stands in solidarity and support with the people of Ethiopia during this difficult time.,2024-07-24 11:38:09+00:00,2933,627,174,11
1815796032556462388,"I also thank the leaders of the friendly nations of Algeria, China, France, Israel, Poland, Togo, the African Union Commission, the European Union Council…for their messages of congratulations. Rwanda looks forward to furthering our fruitful partnership.",2024-07-23 17:08:04+00:00,5772,1064,607,68
1815510306778427434,"My sincere gratitude for the messages of congratulations and support from the friendly leaders of countries around the world, notably Barbados, Central African Republic, Chad, Comoros, Cuba, Djibouti, Egypt, Ethiopia, Guinea-Bisseau, Guinea, Kazakhstan, Kenya, Liberia,",2024-07-22 22:12:42+00:00,7043,1316,1257,116
1810768399636861366,"My deepest condolences to Senator Jim Inhofe’s family and his loved ones. From his first visit to Africa more than 25 years ago, and the dozens that followed, Jim was a singular friend of our continent, and of Rwanda in particular. The bonds that Jim fostered between Africa and",2024-07-09 20:10:03+00:00,3049,559,391,25
1807490660225691676,"On behalf of the people of Rwanda and myself, I send deepest condolences to His Majesty King Mohammed VI on the passing of his mother, Her Royal Highness Princess Lalla Latifa. Rwanda stands with the Royal family and the people of the Kingdom of Morocco during this difficult",2024-06-30 19:05:29+00:00,3904,713,309,14
1785677205751628158,"My sincere condolences to you my brother, President @WilliamsRuto and the people of Kenya, for the families displaced and the lives lost in the ongoing mass flooding in Nairobi and other parts of the country. Rwanda stands in solidarity with you and the country in this difficult",2024-05-01 14:26:36+00:00,7401,1341,579,61
1782913491872969103,Maaan....that is the #Gunners  we love....!!!,2024-04-23 23:24:36+00:00,18641,2688,752,270
1781343627312042344,"Natuma rambirambi zangu kwa Rais @WilliamsRuto, familia na wapendwa wa waathirika wa ajali ya ndege akiwemo Mkuu wa Majeshi ya Ulinzi Jenerali Ogolla ambaye atakumbukwa kwa weledi na unyenyekevu katika utumishi wake.",2024-04-19 15:26:31+00:00,7567,1266,500,42
